customer_state,total_revenue_brl,num_orders,avg_order_value,revenue_share_pct
SP,5067633.16,40501,125.12,38.33
RJ,1759651.13,12350,142.48,13.31
MG,1552481.83,11354,136.73,11.74
RS,728897.47,5345,136.37,5.51
PR,666063.51,4923,135.3,5.04
SC,507012.13,3546,142.98,3.83
BA,493584.14,3256,151.59,3.73
DF,296498.41,2080,142.55,2.24
GO,282836.7,1957,144.53,2.14
ES,268643.45,1995,134.66,2.03
PE,251889.49,1593,158.12,1.91
CE,219757.38,1279,171.82,1.66
PA,174470.59,946,184.43,1.32
MT,152191.62,886,171.77,1.15
MA,117009.38,717,163.19,0.88
MS,115429.97,701,164.66,0.87
PB,112586.82,517,217.77,0.85
PI,84721.0,476,177.99,0.64
RN,82105.66,474,173.22,0.62
AL,78855.72,397,198.63,0.6
SE,56574.19,335,168.88,0.43
TO,48402.51,274,176.65,0.37
RO,45682.76,243,187.99,0.35
AM,22155.84,145,152.8,0.17
AC,15930.97,80,199.14,0.12
AP,13374.81,67,199.62,0.1
RR,7057.47,41,172.13,0.05
