table,column,dtype,n_unique,n_null,pct_null,sample_values
orders,order_id,object,99441,0,0.0,"['e481f51cbdc54678b7cc49136f2d6af7', '53cdb2fc8bc7dce0b6741e2150273451', '47770eb9100c2d0c44946d9cf07ec65d']"
orders,customer_id,object,99441,0,0.0,"['9ef432eb6251297304e76186b10a928d', 'b0830fb4747a6c6d20dea0b8c802d7ef', '41ce2a54c0b03bf3443c3d931a367089']"
orders,order_status,object,8,0,0.0,"['delivered', 'invoiced', 'shipped']"
orders,order_purchase_timestamp,datetime64[ns],98875,0,0.0,"[Timestamp('2017-10-02 10:56:33'), Timestamp('2018-07-24 20:41:37'), Timestamp('2018-08-08 08:38:49')]"
orders,order_approved_at,datetime64[ns],90733,160,0.16,"[Timestamp('2017-10-02 11:07:15'), Timestamp('2018-07-26 03:24:27'), Timestamp('2018-08-08 08:55:23')]"
orders,order_delivered_carrier_date,datetime64[ns],81018,1783,1.79,"[Timestamp('2017-10-04 19:55:00'), Timestamp('2018-07-26 14:31:00'), Timestamp('2018-08-08 13:50:00')]"
orders,order_delivered_customer_date,datetime64[ns],95664,2965,2.98,"[Timestamp('2017-10-10 21:25:13'), Timestamp('2018-08-07 15:27:45'), Timestamp('2018-08-17 18:06:29')]"
orders,order_estimated_delivery_date,datetime64[ns],459,0,0.0,"[Timestamp('2017-10-18 00:00:00'), Timestamp('2018-08-13 00:00:00'), Timestamp('2018-09-04 00:00:00')]"
items,order_id,object,98666,0,0.0,"['00010242fe8c5a6d1ba2dd792cb16214', '00018f77f2f0320c557190d7a144bdd3', '000229ec398224ef6ca0657da4fc703e']"
items,order_item_id,int64,21,0,0.0,"[1, 2, 3]"
items,product_id,object,32951,0,0.0,"['4244733e06e7ecb4970a6e2683c13e61', 'e5f2d52b802189ee658865ca93d83a8f', 'c777355d18b72b67abbeef9df44fd0fd']"
items,seller_id,object,3095,0,0.0,"['48436dade18ac8b2bce089ec2a041202', 'dd7ddc04e1b6c2c614352b383efe2d36', '5b51032eddd242adc84c38acab88f23d']"
items,shipping_limit_date,object,93318,0,0.0,"['2017-09-19 09:45:35', '2017-05-03 11:05:13', '2018-01-18 14:48:30']"
items,price,float64,5968,0,0.0,"[58.9, 239.9, 199.0]"
items,freight_value,float64,6999,0,0.0,"[13.29, 19.93, 17.87]"
payments,order_id,object,99440,0,0.0,"['b81ef226f3fe1789b1e8b2acac839d17', 'a9810da82917af2d9aefd1278f1dcfa0', '25e8ea4e93396b6fa0d3dd708e76c1bd']"
payments,payment_sequential,int64,29,0,0.0,"[1, 2, 4]"
