product_category_english,total_revenue_brl,num_orders,avg_order_value,avg_review_score,avg_delivery_delay_days
health_beauty,1232074.12,8608,143.13,4.235,-11.96
watches_gifts,1163585.35,5472,212.64,4.127,-11.77
bed_bath_table,1022202.47,9167,111.51,4.01,-11.35
sports_leisure,956122.87,7491,127.64,4.233,-11.84
computers_accessories,887181.15,6501,136.47,4.083,-12.36
furniture_decor,715568.48,6213,115.17,4.073,-12.28
housewares,617564.75,5688,108.57,4.204,-12.04
cool_stuff,611226.51,3530,173.15,4.228,-12.39
auto,578997.0,3793,152.65,4.151,-11.18
garden_tools,470924.13,3414,137.94,4.194,-11.8
toys,470696.59,3779,124.56,4.24,-12.07
baby,399829.2,2763,144.71,4.121,-11.43
perfumery,390742.63,3073,127.15,4.266,-12.35
telephony,310120.25,4076,76.08,4.056,-11.24
office_furniture,267352.34,1246,214.57,3.65,-11.73
