segment,n_customers,total_revenue,avg_recency,avg_frequency,revenue_pct
At Risk,15490,3127833.08,380.98,1.05,23.66
Other,14684,2100187.63,142.45,1.02,15.88
Champions,6474,1774913.54,90.89,1.17,13.42
Cant Lose Them,5874,1411442.64,436.15,1.06,10.68
Promising,6679,1368948.91,134.06,1.0,10.35
Need Attention,5762,1097741.57,155.79,1.0,8.3
Loyal,8153,1038686.0,183.63,1.08,7.86
Hibernating,10566,568045.66,337.37,1.0,4.3
Potential Loyalist,8222,333220.25,76.66,1.0,2.52
About to Sleep,3702,159438.22,256.53,1.0,1.21
Lost,4666,140131.74,475.36,1.0,1.06
New Customer,3086,100908.87,135.22,1.0,0.76
